original,second_part,noun_forms,lemma,genus,compound_forms,sim_words,wup_sim_words,related_words,hypernyms,definition,stem_cistem,stem_porter,stem_lancaster,stem_snowball,share_cistem,share_porter,share_lancaster,share_snowball,similar_words
Klimastreit,Streit,"['Streits', 'Streiten', 'Streit', 'Streite', 'Streites']",Streit,m,"['Klimastreits', 'Klimastreiten', 'Klimastreit', 'Klimastreite', 'Klimastreites']",[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Gerangel', 'Krach', 'Clinch', 'Streit', 'Zankerei', 'Zerwürfnis', 'Zoff', 'Differenzen', 'Zank', 'Stunk', 'Querelen', 'Streiterei', 'Knatsch', 'Rangelei', 'Streitigkeit', 'Hader', 'Hickhack', 'Zwist', 'Zwistigkeit', 'Geplänkel', 'Hakelei', 'Wickel', 'Klinsch', 'Auseinandersetzung', 'Scharmützel']",,"['Zustand der Opposition zwischen Personen, Ideen oder Interessen.', 'Ordnungswidriger Kampf', 'Dialog mit großer Nicht-Übereinstimmung.']",strei,streit,streit,streit,"['streit', 'streiter']",,,"['streit', 'streiter']","['streit', 'streiter']"
Klimastreiter,Streiter,"['Streiter', 'Streiters', 'Streitern']",Streiter,m,"['Klimastreiter', 'Klimastreiters', 'Klimastreitern']",['krieger'],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Soldat', 'Krieger', 'Kämpfer', 'Kämpe', 'Streiter']",,"['ein Streitender, der sich streitet']",strei,streiter,streiter,streit,"['streit', 'streiter']",,,"['streit', 'streiter']","['krieger', 'streit', 'streiter']"
Klimataliban,Taliban,"['Taliban', 'Talibans']",Taliban,m,"['Klimataliban', 'Klimatalibans']",[],[],,,[],taliba,taliban,talib,taliban,,,,,[]
Klimateppich,Teppich,"['Teppichs', 'Teppiche', 'Teppichen', 'Teppich']",Teppich,m,"['Klimateppichs', 'Klimateppiche', 'Klimateppichen', 'Klimateppich']",[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Teppich', 'Auslegeware', 'Knüpfwerk']",,"['ein natürlicher Gegenstand, der einem Teppich ähnelt oder diesen suggeriert']",teppich,teppich,teppich,teppich,,,,,[]
Klimateufel,Teufel,"['Teufels', 'Teufeln', 'Teufel']",Teufel,m,"['Klimateufels', 'Klimateufeln', 'Klimateufel']",['monster'],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Satan', 'Monster', 'Scheusal', 'Teufel', 'Bluthund', 'Bestie', 'Bestie in Menschengestalt', 'Unmensch', 'Ungeheuer']",,"['eine grausam raubgierige Person', 'Feuerzeug, bestehend aus einem dünnen Stück Holz oder Pappe, das mit einer brennbaren Chemikalie bestückt ist; entzündet sich durch Reibung']",teufel,teufel,teufel,teufel,,,,,['monster']
Klimatheater,Theater,"['Theater', 'Theatern', 'Theaters']",Theater,n,"['Klimatheater', 'Klimatheatern', 'Klimatheaters']",[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Schererei', 'Krach', 'Streit', 'Ärger', 'Stress', 'Verdrießlichkeiten', 'Konflikte', 'Trouble', 'Misshelligkeiten', 'Kacke ist am dampfen', 'Probleme', 'Huddel', 'Ärgerlichkeiten', 'Unmut', 'Theater']",,"['Ordnungswidriger Kampf', 'ein verwirrtes oder nervöses und aufgeregtes Gemüt', 'gekennzeichnet durch Nervosität und schnelles Erschrecken', 'schelmisches oder hinterlistiges Verhalten', None, 'etwas oder jemand, der Angst verursacht; eine Quelle des Unglücklichseins', 'eine gesellschaftliche Veranstaltung mit einer öffentlichen Aufführung oder Unterhaltung', 'ein Gebäude, in dem Theatervorstellungen oder Filmvorführungen stattfinden können']",thea,theater,the,theat,,,,,[]
Klimatheologie,Theologie,"['Theologien', 'Theologie']",Theologie,f,"['Klimatheologien', 'Klimatheologie']",[],[],"['Religionswissenschaft', 'Theologie', 'Gottesgelehrtheit']","['Zucht', 'Haltung', 'Aufzucht']",['das rationale und systematische Studium der Religion und ihrer Einflüsse sowie des Wesens der religiösen Wahrheit'],theologie,theologi,theolog,theologi,,,,,[]
Klimatod,Tod,"['Tod', 'Toden', 'Tode', 'Todes', 'Tods']",Tod,m,"['Klimatod', 'Klimatoden', 'Klimatode', 'Klimatodes', 'Klimatods']",[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Abberufung', 'Abschied', 'Exitus', 'Sterben', 'Terminalphase', 'Hinschied', 'Lebensende', 'Tod', 'Ableben', 'Versterben']",,"['Entlassung aus dem Amt', 'das Ereignis des Sterbens oder des Ausscheidens aus dem Leben']",tod,tod,tod,tod,,,,,[]
Klimatrash,Trash,"['Trashs', 'Trash']",Trash,m,"['Klimatrashs', 'Klimatrash']",[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Schund', 'Kitsch', 'Ramsch', 'geschmackloser Gegenstand', 'Trash']",,['wertlose Menschen'],trash,trash,trash,trash,,,,,[]
Klimatraumatisierung,Traumatisierung,"['Traumatisierung', 'Traumatisierungen']",Traumatisierung,f,"['Klimatraumatisierung', 'Klimatraumatisierungen']",[],[],,,[],traumatisierung,traumatisierung,traumatisierung,traumatisier,,,,,[]
Klimatrip,Trip,"['Trip', 'Trips']",Trip,m,"['Klimatrip', 'Klimatrips']",[],[],"['Tour', 'Spritztour', 'Ausflug', 'kurze Reise', 'Trip', 'Spritzfahrt']","['besteigen', 'rittlings sitzen', 'reiten']","['eine Fahrt in einem Auto, die nur zum Vergnügen unternommen wird']",trip,trip,trip,trip,,,,,[]
Klimatyrannei,Tyrannei,"['Tyrannei', 'Tyranneien']",Tyrannei,f,"['Klimatyrannei', 'Klimatyranneien']",['diktatur'],['diktatur'],"['Despotismus', 'Gewaltherrschaft', 'Willkürherrschaft', 'Zwangsherrschaft', 'Schreckensherrschaft', 'Tyrannei', 'Diktatur', 'Absolutismus', 'Tyrannis', 'Despotie', 'Terror']","['Autokratie', 'Alleinherrschaft']",['Herrschaft durch Androhung von Strafe und Gewalt'],tyrannei,tyrannei,tyranne,tyrannei,,,,,['diktatur']
Klimaunfug,Unfug,"['Unfug', 'Unfugs']",Unfug,m,"['Klimaunfug', 'Klimaunfugs']","['blödsinn', 'gefasel', 'käse', 'quatsch', 'unsinn']","['blödsinn', 'gefasel', 'käse', 'quatsch', 'unsinn']","['Schwachsinn', 'Scheiße', 'Mist', 'Quark', 'Nonsens', 'Fez', 'Gelaber', 'Gefasel', 'dummes Zeug', 'Geschwafel', 'Gewäsch', 'Krampf', 'Kohl', 'Tinnef', 'Bockmist', 'Kiki', 'Widersinn', 'Unsinn', 'Käse', 'saudummes Zeug', 'Scheiß', 'Quatsch', 'Unfug', 'Kokolores', 'Schmarren', 'Schmäh', 'Blech', 'geistiger Dünnschiss', 'Quatsch mit Soße', 'Humbug', 'Stuss', 'dümmliches Gerede', 'Nonsense', 'geistiger Durchfall', 'Schmarrn', 'Schwachfug', 'Pillepalle', 'Pipifax', 'gequirlte Scheiße', 'Mumpitz', 'Bullshit', 'Driss', 'Kappes', 'Heckmeck', 'Papperlapapp', 'Schmonzes', 'Sottise', 'Schmu', 'Blödsinn', 'Firlefanz']","['Geplänkel', 'leeres Gerede', 'hohle Phrasen', 'Geseire', 'Geschwalle', 'Gerede', 'Gelaber', 'Gefasel', 'dummes Zeug', 'Schein-Tiefsinn', 'langweilige Rede', 'Blabla', 'Gemunkel', 'Geschwurbel', 'Luftblasen', 'Geschwafel', 'Sermon', 'Geschwätz', 'warme Worte', 'Gewäsch', 'Schmus', 'leere Worte', 'Geblubber']",['unsinniges Gerede oder Schreiben'],unfug,unfug,unfug,unfug,,,,,"['blödsinn', 'gefasel', 'käse', 'quatsch', 'unsinn']"
Klimaunfähigkeit,Unfähigkeit,"['Unfähigkeit', 'Unfähigkeiten']",Unfähigkeit,f,"['Klimaunfähigkeit', 'Klimaunfähigkeiten']",[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Stümperhaftigkeit', 'Trotteligkeit', 'Dummheit', 'Beknacktheit', 'Ignoranz', 'Unwissenheit', 'Unfähigkeit', 'Beklopptheit', 'Doofheit', 'Dilettantismus', 'Blödheit', 'Trottligkeit']",,"['Mangel an Entwicklungsmöglichkeiten', 'das Fehlen der Fähigkeit zur Leistung', 'die Eigenschaft, nicht geeignet zu sein']",unfahigkei,unfähigkeit,unfähigkeit,unfah,,,,,[]
Klimaungerechtigkeit,Ungerechtigkeit,"['Ungerechtigkeiten', 'Ungerechtigkeit']",Ungerechtigkeit,f,"['Klimaungerechtigkeiten', 'Klimaungerechtigkeit']",[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Einseitigkeit', 'Diskriminierung', 'Ungerechtigkeit', 'Rechtswidrigkeit']",,"['eine ungerechte Handlung', 'unangemessenes Verhalten']",ungerechtigkei,ungerechtigkeit,ungerechtigkeit,ungerecht,,,,,[]
Klimaunsinn,Unsinn,"['Unsinns', 'Unsinn', 'Unsinne', 'Unsinnes']",Unsinn,m,"['Klimaunsinns', 'Klimaunsinn', 'Klimaunsinne', 'Klimaunsinnes']","['blödsinn', 'gefasel', 'käse', 'quatsch', 'unfug']","['blödsinn', 'gefasel', 'käse', 'quatsch', 'unfug']","['Schwachsinn', 'Scheiße', 'Mist', 'Quark', 'Nonsens', 'Fez', 'Gelaber', 'Gefasel', 'dummes Zeug', 'Geschwafel', 'Gewäsch', 'Krampf', 'Kohl', 'Tinnef', 'Bockmist', 'Kiki', 'Widersinn', 'Unsinn', 'Käse', 'saudummes Zeug', 'Scheiß', 'Quatsch', 'Unfug', 'Kokolores', 'Schmarren', 'Schmäh', 'Blech', 'geistiger Dünnschiss', 'Quatsch mit Soße', 'Humbug', 'Stuss', 'dümmliches Gerede', 'Nonsense', 'geistiger Durchfall', 'Schmarrn', 'Schwachfug', 'Pillepalle', 'Pipifax', 'gequirlte Scheiße', 'Mumpitz', 'Bullshit', 'Driss', 'Kappes', 'Heckmeck', 'Papperlapapp', 'Schmonzes', 'Sottise', 'Schmu', 'Blödsinn', 'Firlefanz']","['Geplänkel', 'leeres Gerede', 'hohle Phrasen', 'Geseire', 'Geschwalle', 'Gerede', 'Gelaber', 'Gefasel', 'dummes Zeug', 'Schein-Tiefsinn', 'langweilige Rede', 'Blabla', 'Gemunkel', 'Geschwurbel', 'Luftblasen', 'Geschwafel', 'Sermon', 'Geschwätz', 'warme Worte', 'Gewäsch', 'Schmus', 'leere Worte', 'Geblubber']","['unsinniges Gerede oder Schreiben', 'eine Nachricht, die keinen Sinn zu ergeben scheint']",unsinn,unsinn,unsin,unsinn,,,,,"['blödsinn', 'gefasel', 'käse', 'quatsch', 'unfug']"
Klimauntergang,Untergang,"['Unterganges', 'Untergang', 'Untergange', 'Untergänge', 'Untergängen', 'Untergangs']",Untergang,m,"['Klimaunterganges', 'Klimauntergang', 'Klimauntergange', 'Klimauntergänge', 'Klimauntergängen', 'Klimauntergangs']","['apokalypse', 'armageddon']","['apokalypse', 'armageddon']","['Ende', 'Apokalypse', 'Verderben', 'Unglück', 'Untergang', 'Abaddon', 'Zusammenbruch', 'Armageddon', 'Waterloo', 'Super-GAU', 'Abgrund']","['Offenbarung', 'Erscheinung', 'Phantom', 'Hirngespinst', 'Einbildung', 'Sinnestäuschung', 'Trugbild', 'Selbsttäuschung', 'Täuschung', 'Wahnvorstellung', 'Halluzination', 'Gesicht', 'Fata Morgana', 'Butterland', 'Illusion', 'Vision', 'Wahnbild', 'Hallu', 'Geisterbild', 'reizunabhängige Sinneswahrnehmung']","['Visionäre Beschreibung eines Zustandes, in dem die Welt nicht weiter besteht.', 'Zerlegung in Einzelteile', 'ein bestimmter, vorübergehender Geisteszustand']",untergang,untergang,untergang,untergang,,,,,"['apokalypse', 'armageddon']"
Klimavatikan,Vatikan,"['Vatikan', 'Vatikans']",Vatikan,m,"['Klimavatikan', 'Klimavatikans']",['staat'],['staat'],"['Vatikanstadt', 'Kirchenstaat', 'Vatikan']",['Stadt'],['die Hauptstadt des Staates der Vatikanstadt'],vatika,vatikan,vatik,vatikan,,,,,['staat']
Klimaverblödung,Verblödung,['Verblödung'],Verblödung,f,['Klimaverblödung'],[],[],,,[],verblodung,verblödung,verblödung,verblod,,,,,[]
Klimaverbrechen,Verbrechen,"['Verbrechen', 'Verbrechens']",Verbrechen,n,"['Klimaverbrechen', 'Klimaverbrechens']",['betrug'],['betrug'],"['krimineller Akt', 'Verbrechen', 'Untat', 'Delikt', 'strafbare Handlung', 'Unrechtstat', 'illegale Handlung', 'Straftat']","['Frevel', 'Übertretung', 'Tabubruch', 'Verfehlung', 'Bruch', 'frevlerisches Handeln', 'Sünde', 'Missetat']","['(Strafrecht) eine Handlung, die strafbar ist; in der Regel eine böse Tat']",verbrech,verbrechen,verbrech,verbrech,"['verbrechen', 'verbrecher']",,"['verbrechen', 'verbrecher']","['verbrechen', 'verbrecher']","['betrug', 'verbrechen', 'verbrecher', 'verbrechen', 'verbrecher']"
Klimaverbrecher,Verbrecher,"['Verbrechers', 'Verbrechern', 'Verbrecher']",Verbrecher,m,"['Klimaverbrechers', 'Klimaverbrechern', 'Klimaverbrecher']",['gangster'],"['brandstifter', 'gangster']","['Halunke', 'Gauner', 'Gangster', 'Verbrecher', 'Bandit', 'Galgenstrick', 'Ganove', 'Galgenvogel']","['Verbrecher', 'Straftäter', 'Täter', 'schwerer Junge', 'Schächer', 'Krimineller', 'Gesetzesbrecher', 'kriminelles Element']","['ein Krimineller, der Mitglied einer Bande ist', 'ein junger Straftäter', 'jemand, der gegen das Gesetz verstößt']",verbrech,verbrech,verbrech,verbrech,"['verbrechen', 'verbrecher']",,"['verbrechen', 'verbrecher']","['verbrechen', 'verbrecher']","['gangster', 'verbrechen', 'verbrecher', 'verbrechen', 'verbrecher']"
Klimaverdummung,Verdummung,['Verdummung'],Verdummung,f,['Klimaverdummung'],[],[],,,[],verdummung,verdummung,verdummung,verdumm,,,,,[]
